"station_id"	"stationname"	"date"	"daytype"	"rides"	"loc"
"172"	40960	"Pulaski-Orange"	"12/20/2017"	"W"	5037	"(41.799756, -87.724493)"
"181"	40960	"Pulaski-Orange"	"12/25/2017"	"U"	528	"(41.799756, -87.724493)"
"302"	40960	"Pulaski-Orange"	"12/30/2017"	"A"	1507	"(41.799756, -87.724493)"
"486"	40960	"Pulaski-Orange"	"12/05/2017"	"W"	5591	"(41.799756, -87.724493)"
"795"	40960	"Pulaski-Orange"	"12/27/2017"	"W"	2923	"(41.799756, -87.724493)"
"846"	40960	"Pulaski-Orange"	"12/18/2017"	"W"	4829	"(41.799756, -87.724493)"
"1027"	40960	"Pulaski-Orange"	"12/26/2017"	"W"	2573	"(41.799756, -87.724493)"
"1141"	40960	"Pulaski-Orange"	"12/24/2017"	"U"	1163	"(41.799756, -87.724493)"
"1231"	40960	"Pulaski-Orange"	"12/11/2017"	"W"	5206	"(41.799756, -87.724493)"
"1425"	40960	"Pulaski-Orange"	"12/29/2017"	"W"	3033	"(41.799756, -87.724493)"
"1876"	40960	"Pulaski-Orange"	"12/28/2017"	"W"	3084	"(41.799756, -87.724493)"
"1998"	40960	"Pulaski-Orange"	"12/17/2017"	"U"	1505	"(41.799756, -87.724493)"
"2032"	40960	"Pulaski-Orange"	"12/07/2017"	"W"	5611	"(41.799756, -87.724493)"
"2189"	40960	"Pulaski-Orange"	"12/22/2017"	"W"	4606	"(41.799756, -87.724493)"
"2201"	40960	"Pulaski-Orange"	"12/15/2017"	"W"	4963	"(41.799756, -87.724493)"
"2288"	40960	"Pulaski-Orange"	"12/16/2017"	"A"	2380	"(41.799756, -87.724493)"
"2332"	40960	"Pulaski-Orange"	"12/06/2017"	"W"	5692	"(41.799756, -87.724493)"
"2535"	40960	"Pulaski-Orange"	"12/10/2017"	"U"	1491	"(41.799756, -87.724493)"
"2707"	40960	"Pulaski-Orange"	"12/03/2017"	"U"	2031	"(41.799756, -87.724493)"
"2730"	40960	"Pulaski-Orange"	"12/14/2017"	"W"	5228	"(41.799756, -87.724493)"
"2808"	40960	"Pulaski-Orange"	"12/31/2017"	"U"	1213	"(41.799756, -87.724493)"
"2988"	40960	"Pulaski-Orange"	"12/21/2017"	"W"	4927	"(41.799756, -87.724493)"
"3084"	40960	"Pulaski-Orange"	"12/02/2017"	"A"	2885	"(41.799756, -87.724493)"
"3174"	40960	"Pulaski-Orange"	"12/08/2017"	"W"	5309	"(41.799756, -87.724493)"
"3220"	40960	"Pulaski-Orange"	"12/13/2017"	"W"	5290	"(41.799756, -87.724493)"
"3363"	40960	"Pulaski-Orange"	"12/04/2017"	"W"	5562	"(41.799756, -87.724493)"
"3389"	40960	"Pulaski-Orange"	"12/12/2017"	"W"	5169	"(41.799756, -87.724493)"
"4295"	40960	"Pulaski-Orange"	"12/23/2017"	"A"	2103	"(41.799756, -87.724493)"
"4439"	40960	"Pulaski-Orange"	"12/01/2017"	"W"	5689	"(41.799756, -87.724493)"
"4447"	40960	"Pulaski-Orange"	"12/09/2017"	"A"	2193	"(41.799756, -87.724493)"
"4472"	40960	"Pulaski-Orange"	"12/19/2017"	"W"	5123	"(41.799756, -87.724493)"
"4549"	40960	"Pulaski-Orange"	"02/20/2018"	"W"	5289	"(41.799756, -87.724493)"
"4734"	40960	"Pulaski-Orange"	"03/07/2018"	"W"	5322	"(41.799756, -87.724493)"
"5012"	40960	"Pulaski-Orange"	"02/01/2018"	"W"	5299	"(41.799756, -87.724493)"
"5208"	40960	"Pulaski-Orange"	"02/15/2018"	"W"	5351	"(41.799756, -87.724493)"
"5252"	40960	"Pulaski-Orange"	"03/28/2018"	"W"	4563	"(41.799756, -87.724493)"
"5359"	40960	"Pulaski-Orange"	"03/29/2018"	"W"	4192	"(41.799756, -87.724493)"
"5363"	40960	"Pulaski-Orange"	"03/26/2018"	"W"	4167	"(41.799756, -87.724493)"
"5454"	40960	"Pulaski-Orange"	"03/31/2018"	"A"	1720	"(41.799756, -87.724493)"
"5548"	40960	"Pulaski-Orange"	"02/21/2018"	"W"	5460	"(41.799756, -87.724493)"
