"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor"
"13",41210,"Wellington","12/07/2017","W",3210,2017-12-07,12,"Dec",2017,7,"Thursday","(41.936033, -87.653266)","purple_exp"
"55",41210,"Wellington","12/03/2017","U",900,2017-12-03,12,"Dec",2017,3,"Sunday","(41.936033, -87.653266)","purple_exp"
"105",41210,"Wellington","12/09/2017","A",1455,2017-12-09,12,"Dec",2017,9,"Saturday","(41.936033, -87.653266)","purple_exp"
"264",41210,"Wellington","12/23/2017","A",776,2017-12-23,12,"Dec",2017,23,"Saturday","(41.936033, -87.653266)","purple_exp"
"271",41210,"Wellington","12/06/2017","W",3246,2017-12-06,12,"Dec",2017,6,"Wednesday","(41.936033, -87.653266)","purple_exp"
"402",41210,"Wellington","12/24/2017","U",337,2017-12-24,12,"Dec",2017,24,"Sunday","(41.936033, -87.653266)","purple_exp"
"759",41210,"Wellington","12/18/2017","W",2913,2017-12-18,12,"Dec",2017,18,"Monday","(41.936033, -87.653266)","purple_exp"
"893",41210,"Wellington","12/13/2017","W",3153,2017-12-13,12,"Dec",2017,13,"Wednesday","(41.936033, -87.653266)","purple_exp"
"938",41210,"Wellington","12/21/2017","W",2716,2017-12-21,12,"Dec",2017,21,"Thursday","(41.936033, -87.653266)","purple_exp"
"991",41210,"Wellington","12/15/2017","W",2832,2017-12-15,12,"Dec",2017,15,"Friday","(41.936033, -87.653266)","purple_exp"
"1123",41210,"Wellington","12/29/2017","W",1568,2017-12-29,12,"Dec",2017,29,"Friday","(41.936033, -87.653266)","purple_exp"
"1282",41210,"Wellington","12/25/2017","U",195,2017-12-25,12,"Dec",2017,25,"Monday","(41.936033, -87.653266)","purple_exp"
"1445",41210,"Wellington","12/19/2017","W",3029,2017-12-19,12,"Dec",2017,19,"Tuesday","(41.936033, -87.653266)","purple_exp"
"1484",41210,"Wellington","12/02/2017","A",1588,2017-12-02,12,"Dec",2017,2,"Saturday","(41.936033, -87.653266)","purple_exp"
"1622",41210,"Wellington","12/05/2017","W",3137,2017-12-05,12,"Dec",2017,5,"Tuesday","(41.936033, -87.653266)","purple_exp"
"1665",41210,"Wellington","12/14/2017","W",3178,2017-12-14,12,"Dec",2017,14,"Thursday","(41.936033, -87.653266)","purple_exp"
"1889",41210,"Wellington","12/11/2017","W",2960,2017-12-11,12,"Dec",2017,11,"Monday","(41.936033, -87.653266)","purple_exp"
"1928",41210,"Wellington","12/20/2017","W",2984,2017-12-20,12,"Dec",2017,20,"Wednesday","(41.936033, -87.653266)","purple_exp"
"1958",41210,"Wellington","12/31/2017","U",706,2017-12-31,12,"Dec",2017,31,"Sunday","(41.936033, -87.653266)","purple_exp"
"2354",41210,"Wellington","12/10/2017","U",859,2017-12-10,12,"Dec",2017,10,"Sunday","(41.936033, -87.653266)","purple_exp"
"2441",41210,"Wellington","12/30/2017","A",775,2017-12-30,12,"Dec",2017,30,"Saturday","(41.936033, -87.653266)","purple_exp"
"2656",41210,"Wellington","12/12/2017","W",3011,2017-12-12,12,"Dec",2017,12,"Tuesday","(41.936033, -87.653266)","purple_exp"
"2843",41210,"Wellington","12/16/2017","A",1328,2017-12-16,12,"Dec",2017,16,"Saturday","(41.936033, -87.653266)","purple_exp"
"2862",41210,"Wellington","12/27/2017","W",1422,2017-12-27,12,"Dec",2017,27,"Wednesday","(41.936033, -87.653266)","purple_exp"
"3106",41210,"Wellington","12/26/2017","W",885,2017-12-26,12,"Dec",2017,26,"Tuesday","(41.936033, -87.653266)","purple_exp"
"3241",41210,"Wellington","12/01/2017","W",3166,2017-12-01,12,"Dec",2017,1,"Friday","(41.936033, -87.653266)","purple_exp"
"3667",41210,"Wellington","12/04/2017","W",3064,2017-12-04,12,"Dec",2017,4,"Monday","(41.936033, -87.653266)","purple_exp"
"3731",41210,"Wellington","12/17/2017","U",891,2017-12-17,12,"Dec",2017,17,"Sunday","(41.936033, -87.653266)","purple_exp"
"3758",41210,"Wellington","12/22/2017","W",2085,2017-12-22,12,"Dec",2017,22,"Friday","(41.936033, -87.653266)","purple_exp"
"4208",41210,"Wellington","12/08/2017","W",3045,2017-12-08,12,"Dec",2017,8,"Friday","(41.936033, -87.653266)","purple_exp"
"4425",41210,"Wellington","12/28/2017","W",1649,2017-12-28,12,"Dec",2017,28,"Thursday","(41.936033, -87.653266)","purple_exp"
"4606",41210,"Wellington","02/28/2018","W",3306,2018-02-28,2,"Feb",2018,28,"Wednesday","(41.936033, -87.653266)","purple_exp"
"4624",41210,"Wellington","03/02/2018","W",2994,2018-03-02,3,"Mar",2018,2,"Friday","(41.936033, -87.653266)","purple_exp"
"4752",41210,"Wellington","03/03/2018","A",1330,2018-03-03,3,"Mar",2018,3,"Saturday","(41.936033, -87.653266)","purple_exp"
"4776",41210,"Wellington","01/20/2018","A",1552,2018-01-20,1,"Jan",2018,20,"Saturday","(41.936033, -87.653266)","purple_exp"
"4902",41210,"Wellington","03/19/2018","W",3020,2018-03-19,3,"Mar",2018,19,"Monday","(41.936033, -87.653266)","purple_exp"
"5064",41210,"Wellington","03/12/2018","W",3112,2018-03-12,3,"Mar",2018,12,"Monday","(41.936033, -87.653266)","purple_exp"
"5141",41210,"Wellington","03/11/2018","U",864,2018-03-11,3,"Mar",2018,11,"Sunday","(41.936033, -87.653266)","purple_exp"
"5281",41210,"Wellington","02/26/2018","W",3126,2018-02-26,2,"Feb",2018,26,"Monday","(41.936033, -87.653266)","purple_exp"
"5390",41210,"Wellington","02/04/2018","U",856,2018-02-04,2,"Feb",2018,4,"Sunday","(41.936033, -87.653266)","purple_exp"
"5572",41210,"Wellington","02/14/2018","W",3358,2018-02-14,2,"Feb",2018,14,"Wednesday","(41.936033, -87.653266)","purple_exp"
"5678",41210,"Wellington","02/12/2018","W",3080,2018-02-12,2,"Feb",2018,12,"Monday","(41.936033, -87.653266)","purple_exp"
"6004",41210,"Wellington","02/11/2018","U",872,2018-02-11,2,"Feb",2018,11,"Sunday","(41.936033, -87.653266)","purple_exp"
"6173",41210,"Wellington","01/15/2018","W",2017,2018-01-15,1,"Jan",2018,15,"Monday","(41.936033, -87.653266)","purple_exp"
"6352",41210,"Wellington","01/12/2018","W",2924,2018-01-12,1,"Jan",2018,12,"Friday","(41.936033, -87.653266)","purple_exp"
"6451",41210,"Wellington","01/08/2018","W",3067,2018-01-08,1,"Jan",2018,8,"Monday","(41.936033, -87.653266)","purple_exp"
"6459",41210,"Wellington","01/05/2018","W",2654,2018-01-05,1,"Jan",2018,5,"Friday","(41.936033, -87.653266)","purple_exp"
"6494",41210,"Wellington","02/25/2018","U",843,2018-02-25,2,"Feb",2018,25,"Sunday","(41.936033, -87.653266)","purple_exp"
"6630",41210,"Wellington","02/27/2018","W",3249,2018-02-27,2,"Feb",2018,27,"Tuesday","(41.936033, -87.653266)","purple_exp"
"6685",41210,"Wellington","02/20/2018","W",3093,2018-02-20,2,"Feb",2018,20,"Tuesday","(41.936033, -87.653266)","purple_exp"
