"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"221",41300,"Loyola",NA,NA,5177,2017-12-12,12,"Dec",2017,12,"Tuesday","(42.001073, -87.661061)","100000000",NA
"240",41300,"Loyola",NA,NA,5454,2017-12-05,12,"Dec",2017,5,"Tuesday","(42.001073, -87.661061)","100000000",NA
"331",41300,"Loyola",NA,NA,4986,2017-12-13,12,"Dec",2017,13,"Wednesday","(42.001073, -87.661061)","100000000",NA
"458",41300,"Loyola",NA,NA,3776,2017-12-18,12,"Dec",2017,18,"Monday","(42.001073, -87.661061)","100000000",NA
"568",41300,"Loyola",NA,NA,5895,2017-12-08,12,"Dec",2017,8,"Friday","(42.001073, -87.661061)","100000000",NA
"620",41300,"Loyola",NA,NA,2264,2017-12-27,12,"Dec",2017,27,"Wednesday","(42.001073, -87.661061)","100000000",NA
"773",41300,"Loyola",NA,NA,2060,2017-12-30,12,"Dec",2017,30,"Saturday","(42.001073, -87.661061)","100000000",NA
"856",41300,"Loyola",NA,NA,963,2017-12-25,12,"Dec",2017,25,"Monday","(42.001073, -87.661061)","100000000",NA
"901",41300,"Loyola",NA,NA,3654,2017-12-21,12,"Dec",2017,21,"Thursday","(42.001073, -87.661061)","100000000",NA
"1220",41300,"Loyola",NA,NA,1481,2017-12-24,12,"Dec",2017,24,"Sunday","(42.001073, -87.661061)","100000000",NA
"1363",41300,"Loyola",NA,NA,4212,2017-12-16,12,"Dec",2017,16,"Saturday","(42.001073, -87.661061)","100000000",NA
"1371",41300,"Loyola",NA,NA,3307,2017-12-22,12,"Dec",2017,22,"Friday","(42.001073, -87.661061)","100000000",NA
"1599",41300,"Loyola",NA,NA,3341,2017-12-03,12,"Dec",2017,3,"Sunday","(42.001073, -87.661061)","100000000",NA
"1916",41300,"Loyola",NA,NA,1843,2017-12-26,12,"Dec",2017,26,"Tuesday","(42.001073, -87.661061)","100000000",NA
"1989",41300,"Loyola",NA,NA,2864,2017-12-10,12,"Dec",2017,10,"Sunday","(42.001073, -87.661061)","100000000",NA
"2043",41300,"Loyola",NA,NA,5465,2017-12-06,12,"Dec",2017,6,"Wednesday","(42.001073, -87.661061)","100000000",NA
"2126",41300,"Loyola",NA,NA,3961,2017-12-09,12,"Dec",2017,9,"Saturday","(42.001073, -87.661061)","100000000",NA
"2190",41300,"Loyola",NA,NA,3846,2017-12-20,12,"Dec",2017,20,"Wednesday","(42.001073, -87.661061)","100000000",NA
"2538",41300,"Loyola",NA,NA,2578,2017-12-17,12,"Dec",2017,17,"Sunday","(42.001073, -87.661061)","100000000",NA
"2679",41300,"Loyola",NA,NA,3980,2017-12-19,12,"Dec",2017,19,"Tuesday","(42.001073, -87.661061)","100000000",NA
"2694",41300,"Loyola",NA,NA,5109,2017-12-14,12,"Dec",2017,14,"Thursday","(42.001073, -87.661061)","100000000",NA
"2723",41300,"Loyola",NA,NA,6511,2017-12-01,12,"Dec",2017,1,"Friday","(42.001073, -87.661061)","100000000",NA
"3060",41300,"Loyola",NA,NA,4966,2017-12-11,12,"Dec",2017,11,"Monday","(42.001073, -87.661061)","100000000",NA
"3098",41300,"Loyola",NA,NA,2541,2017-12-28,12,"Dec",2017,28,"Thursday","(42.001073, -87.661061)","100000000",NA
"3384",41300,"Loyola",NA,NA,5175,2017-12-15,12,"Dec",2017,15,"Friday","(42.001073, -87.661061)","100000000",NA
