"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week"
"61",40890,"O'Hare Airport","12/26/2017","W",11094,2017-12-26,12,"Dec",2017,26,"Tuesday"
"539",40890,"O'Hare Airport","12/01/2017","W",12447,2017-12-01,12,"Dec",2017,1,"Friday"
"672",40890,"O'Hare Airport","12/11/2017","W",10136,2017-12-11,12,"Dec",2017,11,"Monday"
"858",40890,"O'Hare Airport","12/12/2017","W",9406,2017-12-12,12,"Dec",2017,12,"Tuesday"
"1063",40890,"O'Hare Airport","12/25/2017","U",7244,2017-12-25,12,"Dec",2017,25,"Monday"
"1278",40890,"O'Hare Airport","12/18/2017","W",10813,2017-12-18,12,"Dec",2017,18,"Monday"
"1356",40890,"O'Hare Airport","12/29/2017","W",10562,2017-12-29,12,"Dec",2017,29,"Friday"
"1544",40890,"O'Hare Airport","12/22/2017","W",9493,2017-12-22,12,"Dec",2017,22,"Friday"
"1705",40890,"O'Hare Airport","12/31/2017","U",7361,2017-12-31,12,"Dec",2017,31,"Sunday"
"1954",40890,"O'Hare Airport","12/16/2017","A",8450,2017-12-16,12,"Dec",2017,16,"Saturday"
"1994",40890,"O'Hare Airport","12/10/2017","U",8994,2017-12-10,12,"Dec",2017,10,"Sunday"
"2104",40890,"O'Hare Airport","12/07/2017","W",10554,2017-12-07,12,"Dec",2017,7,"Thursday"
"2122",40890,"O'Hare Airport","12/24/2017","U",6777,2017-12-24,12,"Dec",2017,24,"Sunday"
"2369",40890,"O'Hare Airport","12/15/2017","W",11057,2017-12-15,12,"Dec",2017,15,"Friday"
"2426",40890,"O'Hare Airport","12/03/2017","U",9308,2017-12-03,12,"Dec",2017,3,"Sunday"
"2691",40890,"O'Hare Airport","12/19/2017","W",10193,2017-12-19,12,"Dec",2017,19,"Tuesday"
"2938",40890,"O'Hare Airport","12/27/2017","W",11154,2017-12-27,12,"Dec",2017,27,"Wednesday"
"3035",40890,"O'Hare Airport","12/02/2017","A",8542,2017-12-02,12,"Dec",2017,2,"Saturday"
"3211",40890,"O'Hare Airport","12/06/2017","W",9540,2017-12-06,12,"Dec",2017,6,"Wednesday"
"3250",40890,"O'Hare Airport","12/28/2017","W",11141,2017-12-28,12,"Dec",2017,28,"Thursday"
"3666",40890,"O'Hare Airport","12/17/2017","U",9018,2017-12-17,12,"Dec",2017,17,"Sunday"
"3709",40890,"O'Hare Airport","12/14/2017","W",10629,2017-12-14,12,"Dec",2017,14,"Thursday"
"3716",40890,"O'Hare Airport","12/30/2017","A",8847,2017-12-30,12,"Dec",2017,30,"Saturday"
"3737",40890,"O'Hare Airport","12/21/2017","W",9558,2017-12-21,12,"Dec",2017,21,"Thursday"
"3805",40890,"O'Hare Airport","12/13/2017","W",9306,2017-12-13,12,"Dec",2017,13,"Wednesday"
"3824",40890,"O'Hare Airport","12/04/2017","W",9785,2017-12-04,12,"Dec",2017,4,"Monday"
"3859",40890,"O'Hare Airport","12/20/2017","W",9799,2017-12-20,12,"Dec",2017,20,"Wednesday"
"3958",40890,"O'Hare Airport","12/09/2017","A",8033,2017-12-09,12,"Dec",2017,9,"Saturday"
"3969",40890,"O'Hare Airport","12/08/2017","W",11875,2017-12-08,12,"Dec",2017,8,"Friday"
"4335",40890,"O'Hare Airport","12/23/2017","A",7578,2017-12-23,12,"Dec",2017,23,"Saturday"
"4395",40890,"O'Hare Airport","12/05/2017","W",9669,2017-12-05,12,"Dec",2017,5,"Tuesday"
"4677",40890,"O'Hare Airport","02/20/2018","W",10017,2018-02-20,2,"Feb",2018,20,"Tuesday"
"4744",40890,"O'Hare Airport","03/22/2018","W",10836,2018-03-22,3,"Mar",2018,22,"Thursday"
"4846",40890,"O'Hare Airport","03/28/2018","W",10298,2018-03-28,3,"Mar",2018,28,"Wednesday"
"5090",40890,"O'Hare Airport","01/12/2018","W",8264,2018-01-12,1,"Jan",2018,12,"Friday"
"5206",40890,"O'Hare Airport","02/04/2018","U",7315,2018-02-04,2,"Feb",2018,4,"Sunday"
"5349",40890,"O'Hare Airport","01/07/2018","U",7228,2018-01-07,1,"Jan",2018,7,"Sunday"
"5666",40890,"O'Hare Airport","01/25/2018","W",9090,2018-01-25,1,"Jan",2018,25,"Thursday"
"5715",40890,"O'Hare Airport","01/16/2018","W",7774,2018-01-16,1,"Jan",2018,16,"Tuesday"
"5851",40890,"O'Hare Airport","03/21/2018","W",9427,2018-03-21,3,"Mar",2018,21,"Wednesday"
"5866",40890,"O'Hare Airport","01/14/2018","U",6114,2018-01-14,1,"Jan",2018,14,"Sunday"
"5914",40890,"O'Hare Airport","01/04/2018","W",8278,2018-01-04,1,"Jan",2018,4,"Thursday"
"5991",40890,"O'Hare Airport","02/12/2018","W",10257,2018-02-12,2,"Feb",2018,12,"Monday"
"6141",40890,"O'Hare Airport","03/01/2018","W",9506,2018-03-01,3,"Mar",2018,1,"Thursday"
"6229",40890,"O'Hare Airport","02/26/2018","W",10061,2018-02-26,2,"Feb",2018,26,"Monday"
"6324",40890,"O'Hare Airport","03/16/2018","W",13995,2018-03-16,3,"Mar",2018,16,"Friday"
"6596",40890,"O'Hare Airport","01/08/2018","W",9362,2018-01-08,1,"Jan",2018,8,"Monday"
"6656",40890,"O'Hare Airport","02/16/2018","W",11521,2018-02-16,2,"Feb",2018,16,"Friday"
"7210",40890,"O'Hare Airport","03/07/2018","W",9193,2018-03-07,3,"Mar",2018,7,"Wednesday"
"7216",40890,"O'Hare Airport","02/17/2018","A",7786,2018-02-17,2,"Feb",2018,17,"Saturday"
"7577",40890,"O'Hare Airport","03/11/2018","U",9449,2018-03-11,3,"Mar",2018,11,"Sunday"
"7805",40890,"O'Hare Airport","01/01/2018","U",8226,2018-01-01,1,"Jan",2018,1,"Monday"
"7985",40890,"O'Hare Airport","02/14/2018","W",8724,2018-02-14,2,"Feb",2018,14,"Wednesday"
"8369",40890,"O'Hare Airport","01/11/2018","W",7996,2018-01-11,1,"Jan",2018,11,"Thursday"
"8601",40890,"O'Hare Airport","03/15/2018","W",12314,2018-03-15,3,"Mar",2018,15,"Thursday"
"8804",40890,"O'Hare Airport","02/22/2018","W",9912,2018-02-22,2,"Feb",2018,22,"Thursday"
"8822",40890,"O'Hare Airport","01/18/2018","W",7490,2018-01-18,1,"Jan",2018,18,"Thursday"
"9301",40890,"O'Hare Airport","03/09/2018","W",10942,2018-03-09,3,"Mar",2018,9,"Friday"
"9519",40890,"O'Hare Airport","03/05/2018","W",9879,2018-03-05,3,"Mar",2018,5,"Monday"
"9530",40890,"O'Hare Airport","02/09/2018","W",9127,2018-02-09,2,"Feb",2018,9,"Friday"
"9539",40890,"O'Hare Airport","03/24/2018","A",8995,2018-03-24,3,"Mar",2018,24,"Saturday"
"9668",40890,"O'Hare Airport","02/10/2018","A",7658,2018-02-10,2,"Feb",2018,10,"Saturday"
"9869",40890,"O'Hare Airport","03/04/2018","U",8795,2018-03-04,3,"Mar",2018,4,"Sunday"
"10002",40890,"O'Hare Airport","01/22/2018","W",9193,2018-01-22,1,"Jan",2018,22,"Monday"
"10109",40890,"O'Hare Airport","02/23/2018","W",10450,2018-02-23,2,"Feb",2018,23,"Friday"
"10142",40890,"O'Hare Airport","03/03/2018","A",8166,2018-03-03,3,"Mar",2018,3,"Saturday"
"10163",40890,"O'Hare Airport","02/25/2018","U",8639,2018-02-25,2,"Feb",2018,25,"Sunday"
"10866",40890,"O'Hare Airport","02/07/2018","W",8148,2018-02-07,2,"Feb",2018,7,"Wednesday"
"10902",40890,"O'Hare Airport","03/23/2018","W",11488,2018-03-23,3,"Mar",2018,23,"Friday"
"10960",40890,"O'Hare Airport","01/05/2018","W",8561,2018-01-05,1,"Jan",2018,5,"Friday"
"10971",40890,"O'Hare Airport","01/19/2018","W",8293,2018-01-19,1,"Jan",2018,19,"Friday"
"11224",40890,"O'Hare Airport","02/24/2018","A",7458,2018-02-24,2,"Feb",2018,24,"Saturday"
"11640",40890,"O'Hare Airport","03/02/2018","W",10498,2018-03-02,3,"Mar",2018,2,"Friday"
"11819",40890,"O'Hare Airport","03/19/2018","W",10574,2018-03-19,3,"Mar",2018,19,"Monday"
"11863",40890,"O'Hare Airport","01/30/2018","W",8433,2018-01-30,1,"Jan",2018,30,"Tuesday"
"11875",40890,"O'Hare Airport","03/06/2018","W",9429,2018-03-06,3,"Mar",2018,6,"Tuesday"
