"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week"
"75",40350,"UIC-Halsted","12/08/2017","W",7462,2017-12-08,12,"Dec",2017,8,"Friday"
"114",40350,"UIC-Halsted","12/30/2017","A",837,2017-12-30,12,"Dec",2017,30,"Saturday"
"398",40350,"UIC-Halsted","12/13/2017","W",5828,2017-12-13,12,"Dec",2017,13,"Wednesday"
"569",40350,"UIC-Halsted","12/11/2017","W",5614,2017-12-11,12,"Dec",2017,11,"Monday"
"579",40350,"UIC-Halsted","12/20/2017","W",3072,2017-12-20,12,"Dec",2017,20,"Wednesday"
"760",40350,"UIC-Halsted","12/01/2017","W",7718,2017-12-01,12,"Dec",2017,1,"Friday"
"959",40350,"UIC-Halsted","12/28/2017","W",1575,2017-12-28,12,"Dec",2017,28,"Thursday"
"1031",40350,"UIC-Halsted","12/04/2017","W",7800,2017-12-04,12,"Dec",2017,4,"Monday"
"1187",40350,"UIC-Halsted","12/19/2017","W",3306,2017-12-19,12,"Dec",2017,19,"Tuesday"
"1376",40350,"UIC-Halsted","12/06/2017","W",7813,2017-12-06,12,"Dec",2017,6,"Wednesday"
"1471",40350,"UIC-Halsted","12/29/2017","W",1472,2017-12-29,12,"Dec",2017,29,"Friday"
"1493",40350,"UIC-Halsted","12/17/2017","U",1321,2017-12-17,12,"Dec",2017,17,"Sunday"
"1567",40350,"UIC-Halsted","12/25/2017","U",369,2017-12-25,12,"Dec",2017,25,"Monday"
"1852",40350,"UIC-Halsted","12/15/2017","W",5217,2017-12-15,12,"Dec",2017,15,"Friday"
"1894",40350,"UIC-Halsted","12/27/2017","W",1347,2017-12-27,12,"Dec",2017,27,"Wednesday"
"2054",40350,"UIC-Halsted","12/05/2017","W",7731,2017-12-05,12,"Dec",2017,5,"Tuesday"
"2326",40350,"UIC-Halsted","12/02/2017","A",2340,2017-12-02,12,"Dec",2017,2,"Saturday"
"2534",40350,"UIC-Halsted","12/31/2017","U",800,2017-12-31,12,"Dec",2017,31,"Sunday"
"2884",40350,"UIC-Halsted","12/14/2017","W",5493,2017-12-14,12,"Dec",2017,14,"Thursday"
"2975",40350,"UIC-Halsted","12/09/2017","A",1947,2017-12-09,12,"Dec",2017,9,"Saturday"
"2996",40350,"UIC-Halsted","12/22/2017","W",2334,2017-12-22,12,"Dec",2017,22,"Friday"
"3006",40350,"UIC-Halsted","12/24/2017","U",659,2017-12-24,12,"Dec",2017,24,"Sunday"
"3374",40350,"UIC-Halsted","12/07/2017","W",7661,2017-12-07,12,"Dec",2017,7,"Thursday"
"3486",40350,"UIC-Halsted","12/18/2017","W",3216,2017-12-18,12,"Dec",2017,18,"Monday"
"3646",40350,"UIC-Halsted","12/16/2017","A",1915,2017-12-16,12,"Dec",2017,16,"Saturday"
"4074",40350,"UIC-Halsted","12/12/2017","W",5553,2017-12-12,12,"Dec",2017,12,"Tuesday"
"4188",40350,"UIC-Halsted","12/26/2017","W",1019,2017-12-26,12,"Dec",2017,26,"Tuesday"
"4191",40350,"UIC-Halsted","12/23/2017","A",997,2017-12-23,12,"Dec",2017,23,"Saturday"
"4225",40350,"UIC-Halsted","12/10/2017","U",1285,2017-12-10,12,"Dec",2017,10,"Sunday"
"4242",40350,"UIC-Halsted","12/21/2017","W",2718,2017-12-21,12,"Dec",2017,21,"Thursday"
"4423",40350,"UIC-Halsted","12/03/2017","U",1645,2017-12-03,12,"Dec",2017,3,"Sunday"
"4610",40350,"UIC-Halsted","03/07/2018","W",7467,2018-03-07,3,"Mar",2018,7,"Wednesday"
"4645",40350,"UIC-Halsted","02/04/2018","U",1085,2018-02-04,2,"Feb",2018,4,"Sunday"
"4694",40350,"UIC-Halsted","02/13/2018","W",7493,2018-02-13,2,"Feb",2018,13,"Tuesday"
"4842",40350,"UIC-Halsted","03/04/2018","U",1397,2018-03-04,3,"Mar",2018,4,"Sunday"
"5089",40350,"UIC-Halsted","03/08/2018","W",7258,2018-03-08,3,"Mar",2018,8,"Thursday"
"5186",40350,"UIC-Halsted","02/02/2018","W",6829,2018-02-02,2,"Feb",2018,2,"Friday"
"5329",40350,"UIC-Halsted","01/20/2018","A",2216,2018-01-20,1,"Jan",2018,20,"Saturday"
"5465",40350,"UIC-Halsted","01/08/2018","W",2800,2018-01-08,1,"Jan",2018,8,"Monday"
"5468",40350,"UIC-Halsted","03/23/2018","W",6685,2018-03-23,3,"Mar",2018,23,"Friday"
"5499",40350,"UIC-Halsted","02/28/2018","W",7501,2018-02-28,2,"Feb",2018,28,"Wednesday"
"5552",40350,"UIC-Halsted","03/01/2018","W",7118,2018-03-01,3,"Mar",2018,1,"Thursday"
"5948",40350,"UIC-Halsted","03/11/2018","U",1376,2018-03-11,3,"Mar",2018,11,"Sunday"
"6046",40350,"UIC-Halsted","01/18/2018","W",7420,2018-01-18,1,"Jan",2018,18,"Thursday"
"6155",40350,"UIC-Halsted","02/24/2018","A",2185,2018-02-24,2,"Feb",2018,24,"Saturday"
"6162",40350,"UIC-Halsted","03/20/2018","W",7017,2018-03-20,3,"Mar",2018,20,"Tuesday"
"6252",40350,"UIC-Halsted","02/21/2018","W",7634,2018-02-21,2,"Feb",2018,21,"Wednesday"
"6330",40350,"UIC-Halsted","01/10/2018","W",3168,2018-01-10,1,"Jan",2018,10,"Wednesday"
"6744",40350,"UIC-Halsted","01/03/2018","W",2249,2018-01-03,1,"Jan",2018,3,"Wednesday"
"6752",40350,"UIC-Halsted","03/25/2018","U",1430,2018-03-25,3,"Mar",2018,25,"Sunday"
"6793",40350,"UIC-Halsted","03/19/2018","W",7067,2018-03-19,3,"Mar",2018,19,"Monday"
"6808",40350,"UIC-Halsted","01/14/2018","U",1218,2018-01-14,1,"Jan",2018,14,"Sunday"
"6827",40350,"UIC-Halsted","03/09/2018","W",6909,2018-03-09,3,"Mar",2018,9,"Friday"
"6869",40350,"UIC-Halsted","02/03/2018","A",1769,2018-02-03,2,"Feb",2018,3,"Saturday"
"7083",40350,"UIC-Halsted","02/09/2018","W",3640,2018-02-09,2,"Feb",2018,9,"Friday"
"7183",40350,"UIC-Halsted","01/22/2018","W",7505,2018-01-22,1,"Jan",2018,22,"Monday"
"7504",40350,"UIC-Halsted","02/20/2018","W",7203,2018-02-20,2,"Feb",2018,20,"Tuesday"
"7520",40350,"UIC-Halsted","03/10/2018","A",2061,2018-03-10,3,"Mar",2018,10,"Saturday"
"7679",40350,"UIC-Halsted","03/27/2018","W",3200,2018-03-27,3,"Mar",2018,27,"Tuesday"
"7712",40350,"UIC-Halsted","03/30/2018","W",2701,2018-03-30,3,"Mar",2018,30,"Friday"
"7848",40350,"UIC-Halsted","01/25/2018","W",7505,2018-01-25,1,"Jan",2018,25,"Thursday"
"7859",40350,"UIC-Halsted","03/12/2018","W",7260,2018-03-12,3,"Mar",2018,12,"Monday"
"8525",40350,"UIC-Halsted","03/17/2018","A",3027,2018-03-17,3,"Mar",2018,17,"Saturday"
"8632",40350,"UIC-Halsted","03/28/2018","W",3198,2018-03-28,3,"Mar",2018,28,"Wednesday"
"8648",40350,"UIC-Halsted","02/18/2018","U",1362,2018-02-18,2,"Feb",2018,18,"Sunday"
"9131",40350,"UIC-Halsted","03/18/2018","U",1532,2018-03-18,3,"Mar",2018,18,"Sunday"
"9695",40350,"UIC-Halsted","02/05/2018","W",6982,2018-02-05,2,"Feb",2018,5,"Monday"
"9747",40350,"UIC-Halsted","02/08/2018","W",7342,2018-02-08,2,"Feb",2018,8,"Thursday"
"10097",40350,"UIC-Halsted","02/19/2018","W",6488,2018-02-19,2,"Feb",2018,19,"Monday"
"10305",40350,"UIC-Halsted","03/29/2018","W",3085,2018-03-29,3,"Mar",2018,29,"Thursday"
"10476",40350,"UIC-Halsted","01/15/2018","W",2004,2018-01-15,1,"Jan",2018,15,"Monday"
"10536",40350,"UIC-Halsted","03/22/2018","W",7000,2018-03-22,3,"Mar",2018,22,"Thursday"
"10853",40350,"UIC-Halsted","01/13/2018","A",1361,2018-01-13,1,"Jan",2018,13,"Saturday"
"10936",40350,"UIC-Halsted","01/30/2018","W",7324,2018-01-30,1,"Jan",2018,30,"Tuesday"
"11497",40350,"UIC-Halsted","02/07/2018","W",7438,2018-02-07,2,"Feb",2018,7,"Wednesday"
"11698",40350,"UIC-Halsted","01/16/2018","W",7476,2018-01-16,1,"Jan",2018,16,"Tuesday"
"11767",40350,"UIC-Halsted","02/15/2018","W",7412,2018-02-15,2,"Feb",2018,15,"Thursday"
"11919",40350,"UIC-Halsted","03/21/2018","W",7270,2018-03-21,3,"Mar",2018,21,"Wednesday"
"11955",40350,"UIC-Halsted","01/07/2018","U",763,2018-01-07,1,"Jan",2018,7,"Sunday"
"12168",40350,"UIC-Halsted","03/05/2018","W",7054,2018-03-05,3,"Mar",2018,5,"Monday"
"12193",40350,"UIC-Halsted","03/03/2018","A",1978,2018-03-03,3,"Mar",2018,3,"Saturday"
"12226",40350,"UIC-Halsted","03/31/2018","A",1399,2018-03-31,3,"Mar",2018,31,"Saturday"
"12230",40350,"UIC-Halsted","02/01/2018","W",7382,2018-02-01,2,"Feb",2018,1,"Thursday"
"12330",40350,"UIC-Halsted","01/21/2018","U",1293,2018-01-21,1,"Jan",2018,21,"Sunday"
"12348",40350,"UIC-Halsted","02/22/2018","W",7328,2018-02-22,2,"Feb",2018,22,"Thursday"
"12817",40350,"UIC-Halsted","02/14/2018","W",7881,2018-02-14,2,"Feb",2018,14,"Wednesday"
"13125",40350,"UIC-Halsted","03/15/2018","W",7326,2018-03-15,3,"Mar",2018,15,"Thursday"
"13244",40350,"UIC-Halsted","03/14/2018","W",7550,2018-03-14,3,"Mar",2018,14,"Wednesday"
"13412",40350,"UIC-Halsted","02/26/2018","W",7193,2018-02-26,2,"Feb",2018,26,"Monday"
"13650",40350,"UIC-Halsted","01/26/2018","W",7355,2018-01-26,1,"Jan",2018,26,"Friday"
"13712",40350,"UIC-Halsted","01/23/2018","W",7508,2018-01-23,1,"Jan",2018,23,"Tuesday"
"13790",40350,"UIC-Halsted","02/25/2018","U",1468,2018-02-25,2,"Feb",2018,25,"Sunday"
"13918",40350,"UIC-Halsted","02/12/2018","W",7328,2018-02-12,2,"Feb",2018,12,"Monday"
"14192",40350,"UIC-Halsted","02/10/2018","A",1861,2018-02-10,2,"Feb",2018,10,"Saturday"
"14451",40350,"UIC-Halsted","03/02/2018","W",6799,2018-03-02,3,"Mar",2018,2,"Friday"
"14726",40350,"UIC-Halsted","01/09/2018","W",3019,2018-01-09,1,"Jan",2018,9,"Tuesday"
"14844",40350,"UIC-Halsted","03/13/2018","W",7299,2018-03-13,3,"Mar",2018,13,"Tuesday"
"14948",40350,"UIC-Halsted","02/17/2018","A",1976,2018-02-17,2,"Feb",2018,17,"Saturday"
"15138",40350,"UIC-Halsted","02/27/2018","W",7262,2018-02-27,2,"Feb",2018,27,"Tuesday"
"15145",40350,"UIC-Halsted","01/12/2018","W",2845,2018-01-12,1,"Jan",2018,12,"Friday"
"15235",40350,"UIC-Halsted","02/23/2018","W",7036,2018-02-23,2,"Feb",2018,23,"Friday"
"15260",40350,"UIC-Halsted","01/28/2018","U",1276,2018-01-28,1,"Jan",2018,28,"Sunday"
"15299",40350,"UIC-Halsted","01/31/2018","W",7657,2018-01-31,1,"Jan",2018,31,"Wednesday"
"15336",40350,"UIC-Halsted","01/29/2018","W",7366,2018-01-29,1,"Jan",2018,29,"Monday"
"15359",40350,"UIC-Halsted","01/19/2018","W",7238,2018-01-19,1,"Jan",2018,19,"Friday"
"15431",40350,"UIC-Halsted","01/04/2018","W",2293,2018-01-04,1,"Jan",2018,4,"Thursday"
"15461",40350,"UIC-Halsted","03/24/2018","A",1921,2018-03-24,3,"Mar",2018,24,"Saturday"
"15466",40350,"UIC-Halsted","01/02/2018","W",1936,2018-01-02,1,"Jan",2018,2,"Tuesday"
"15491",40350,"UIC-Halsted","01/27/2018","A",2073,2018-01-27,1,"Jan",2018,27,"Saturday"
"15545",40350,"UIC-Halsted","01/05/2018","W",2209,2018-01-05,1,"Jan",2018,5,"Friday"
"15693",40350,"UIC-Halsted","01/17/2018","W",7635,2018-01-17,1,"Jan",2018,17,"Wednesday"
"15822",40350,"UIC-Halsted","03/26/2018","W",3007,2018-03-26,3,"Mar",2018,26,"Monday"
"16254",40350,"UIC-Halsted","02/11/2018","U",1231,2018-02-11,2,"Feb",2018,11,"Sunday"
"16326",40350,"UIC-Halsted","03/16/2018","W",7166,2018-03-16,3,"Mar",2018,16,"Friday"
"16358",40350,"UIC-Halsted","03/06/2018","W",7222,2018-03-06,3,"Mar",2018,6,"Tuesday"
"16415",40350,"UIC-Halsted","01/24/2018","W",7619,2018-01-24,1,"Jan",2018,24,"Wednesday"
